Category,Value,Clue,Answer
STAR TREK,1600,"In the 2009 film, Karl Urban took over for DeForest Kelley & darnit, Jim, played this doctor, not a bricklayer!",Dr. McCoy
STAR TREK,2000,"In the original series, Mr. Spock suggests this race, the bad guys in the 2009 movie, is an offshoot of his Vulcan race",the Romulans
STAR TREK,100,"Registry number NCC-1701, this ship was launched in 2245",Enterprise
STAR TREK,200,He's appeared on 5 of TV Guide's 14 Star Trek covers,William Shatner
STAR TREK,300,"Tim Russ' character of Tuvok on ""Voyager"" is a full-blooded one of these pointy-eared aliens",Vulcan
STAR TREK,400,Star Fleet is the exploratory branch of this organization of planets,The Federation
STAR TREK,500,"This ""Next Generation"" Klingon joined the ""Deep Space Nine"" crew in 1995",Lt. Worf
STAR TREK,200,"The Little Dipper is in this ""Minor"" constellation",Ursa
STAR TREK,400,Columba represents this bird dear to Noah,the dove
STAR TREK,600,A satellite radio service is named for this star,Sirius
STAR TREK,"1800",This water snake is the largest of all 88 constellations,the Hydra
STAR TREK,1000,"When Cassiopeia is visible, it's not a ""strain"" to see this daughter of hers chained to a rock; she'll be visible too",Andromeda
STAR TREK,100,"David Marcus, son of this captain on the original ""Star Trek"", was killed on the Genesis planet",James T. Kirk
STAR TREK,500,"(VIDEO DAILY DOUBLE): Creature seen here from the original series, it was brought back for a special ""DS9"" episode",Tribble
STAR TREK,300,"Zefram Cochrane, who invented this type of drive in 2061, appeared in the 1996 film ""First Contact""",Warp drive
STAR TREK,400,"The Grand Nagus is the master of commerce in this race that has 285 ""Rules of Acquisition""",Ferengi
STAR TREK,500,"""Benson"" alumni aliens are Ethan Phillips, Neelix on ""Voyager"", & Rene Auberjonois, who plays this role on ""DS9""",Odo
STAR TREK,100,In July 1994 St. Vincent & the Grenadines issued a set of these honoring The Next Generation's last episode,Postage stamps
STAR TREK,200,"Chase Masterson, Leeta on ""DS9"", is staying in the genre co-hosting an entertainment show on this cable network",Sci Fi Channel
STAR TREK,300,"These include the Galileo & the Magellan, & the Enterprise has a bay for them",Shuttles
STAR TREK,800,"(Hi, I'm Jeri Ryan) ""Star Trek"" occasionally adds new characters to the original casts; among them were Dr. Pulaski, me & this Walter Koenig Russian",Pavel Chekov
STAR TREK,500,"1 of the 3 alien races Mark Lenard portrayed in the ""Star Trek"" TV shows & films","Klingons, Romulans or Vulcans"
STAR TREK JARGON,200,"The type-2 of this weapon had a max power setting of 16 & could be set to heat, disrupt or stun",a phaser
STAR TREK JARGON,400,This Star Fleet missive prohibits interference with other civilizations,the Prime Directive
STAR TREK JARGON,600,"This device briefly converts a person to energy, beams the energy, then reassembles the person",a transporter
STAR TREK JARGON,800,When Spock checks chronometric data he's looking at measurements of the space-this continuum,time
STAR TREK JARGON,1000,This crystal regulates matter/antimatter reactions that provide energy for travel faster than light,dilithium
STAR WARS,100,"This character was ""the Hutt""",Jabba
STAR WARS,200,"At times integral parts of the plot, they're the 2 main droids in the first 3 ""Star Wars"" films",C-3PO & R2-D2
STAR WARS,300,"A great sidekick when in hairy situations, Chewbacca was one of these creatures",a Wookiee
STAR WARS,400,Han Solo won this spaceship of Corellian design from Lando Calrissian on a bet,Millennium Falcon
STAR WARS,500,The first 10 words on the screen at the beginning of the film,"""A long time ago, in a galaxy far, far away"""
STAR WARS,100,"In 1998 Texas cattlemen had a beef with this talk show queen, but the jury didn't swallow it",Oprah
STAR WARS,200,"This director testified at the 1998 trial of Jonathan Norman, who was convicted of stalking him",Steven Spielberg
STAR WARS,300,In 1997 this show's Heather Locklear testified in a discrimination suit brought against Spelling Entertainment,Melrose Place
STAR WARS,400,"In 1998 this ""Pump Up the Volume"" star mopped floors in jail while serving time for a drug-related crime",Christian Slater
STAR WARS,500,In 1976 Carol Burnett sued this tabloid for libel; she won in 1981,The [National] Enquirer
STAR WARS,200,"Regarding Brad Pitt's new hairdo, in 2005 this ex said, ""Billy Idol called--he wants his look back""",Jennifer Aniston
STAR WARS,400,"""The Late Shift"" depicted these 2 real-life hosts jockeying for the late-night crown",Jay Leno & David Letterman
STAR WARS,600,"For ""The Simple Life"", Paris Hilton wanted Kimberly Stewart to replace this BFF with whom she was feuding",Nicole Richie
STAR WARS,800,"Justin Timberlake won no fans by sniping that this 2006 American Idol ""can't carry a tune in a bucket""",Taylor Hicks
STAR WARS,1000,"The feud between this actress & Shirley MacLaine, her onscreen mom in ""Terms of Endearment"", is legendary",Debra Winger
STAR WARS,400,"Martin Sheen weighed in on his son Charlie's divorce from this actress by calling for a ""cease-fire""",Denise Richards
STAR WARS,800,"A major rift between Alyssa Milano & her was reportedly among the reasons she left ""Charmed"" in 2001",Shannen Doherty
STAR WARS,1200,"Born Christopher Wallace, he died less than a year after his West Coast rival Tupac Shakur",Notorious B.I.G.
STAR WARS,1000,Rosie O'Donnell once got into it on her talk show with Tom Selleck over his membership in this group,the National Rifle Association (NRA)
STAR WARS,2000,Elle Macpherson & Heidi Klum feuded over the use of this nickname,"""The Body"""
STAR WARS CHARACTERS,400,She's Luke Skywalker's twin sister,Princess Leia
STAR WARS CHARACTERS,800,These 2 droids were the only witnesses when Anakin Skywalker & Padme Amidala were married,R2-D2 & C-3PO
STAR WARS CHARACTERS,1200,"This wookiee's voice is a blend of animal sounds, including bears, badgers, walruses & camels",Chewbacca
STAR WARS CHARACTERS,1600,Ahmed Best was the voice of this bumbling Gungan from Naboo,Jar Jar Binks
STAR WARS CHARACTERS,2000,"This bounty hunter, seen as a child in Episode II, is actually a clone of his father, Jango",Boba Fett
TECHNOLOGY,100,"A box of 64 Crayola crayons has one of these devices ""built-in""",a sharpener
TECHNOLOGY,200,"In 1835 C.S.A. Thilorier froze this gas to create the first ""dry ice""",carbon dioxide
TECHNOLOGY,300,"After hearing this invention of his work, Edison said, ""I was never so taken aback in my life""",the phonograph
TECHNOLOGY,400,C. Vanderbilt thought George Westinghouse's idea of stopping a train by this means a fool notion,the air brake
TECHNOLOGY,500,"First built in 1960, it's also been called an optical maser",laser
TECHNOLOGY,200,"Count Rumford, who died in 1814, invented the drip version of this",the coffee maker (the coffee pot accepted)
TECHNOLOGY,400,Eli Whitney's nephew invented a crusher used to grind up rock for surfacing these,roads
TECHNOLOGY,600,"A fault in the rotation speed of this device produces a sound called a ""wow""",a turntable
TECHNOLOGY,800,"The ""D"" in radar stands for this",detection
TECHNOLOGY,1000,"Name given to the simplest electron tubes, as they have just 2 main parts, a plate & an emitter",a diode
TECHNOLOGY,"100","In 1933 Marconi set up one of the first microwave radio systems, between Castel Gandolfo & this sovereign state",Vatican City
TECHNOLOGY,200,The Oxford Illustrated Encyclopedia says this tool has largely replaced the axe in forestry,Chainsaw
TECHNOLOGY,400,"The ""tracks"" on a printed circuit board are made of this metal",Copper
TECHNOLOGY,"2000","Without this Wallace Carothers invention, WWII G.I.s would have had only chocolates to offer women",Nylons
TECHNOLOGY,800,This lifesaving device had its first live test in 1946 from a Gloster Meteor aircraft,Ejection seats
TECHNOLOGY,1000,"If you're using a GPS device to get around, you should know GPS stands for this",Global Positioning System
TECHNOLOGY,200,Exhaust gas recirculation is one way to clean the emissions of these engines used in trucks & Jettas,Diesel engines
TECHNOLOGY,400,Erase a hard disk before disposing of a computer: putting personal data out there risks this 2-word crime,identity theft
TECHNOLOGY,600,"Using 8 industrial fans, University of Florida engineers have built a simulator of these with 125-mph winds",a hurricane
TECHNOLOGY,800,"More cardiac arrest patients survive thanks to purposely induced this condition, which cools the blood 5-8 degrees",hypothermia
TECHNOLOGY,1000,These drone aircraft controlled from Nevada have been attacking targets in Pakistan,Predator drones
TECHNOLOGY,200,In 1907 The Hurley Co. came up with an electric one of these to hurl clothes around,washing machine
TECHNOLOGY,400,"In addition to film, he came up with the Polaroid lenses used in sunglasses",(Edwin) Land
TECHNOLOGY,600,This company with another medium in its name created the color TV system we use today,RCA (Radio Corporation of America)
TECHNOLOGY,800,The mimeograph was invented by this man around 1876,Thomas Edison
TECHNOLOGY,1000,2 of the 3 beverages Pasteur's pasteurization process first preserved,wine and milk (and beer)
TECHNOLOGY,400,"Until Matsushita & Sony marketed these devices, people had to race home to catch ""Police Woman""",videotape recorders
TECHNOLOGY,800,A basic electronic calculator does multiplication by translating it into a series of this simpler operation,addition
TECHNOLOGY,1200,"In 2003 Billboard magazine started this new chart; the first No. 1, ""Crazy In Love"", had a total of 1,500",music downloads
TECHNOLOGY,1600,This machine for patients with faulty kidneys was developed during WWII; today some models fit under an airplane seat,a dialysis machine
TECHNOLOGY,2000,It's the basic geographic unit of wireless phone service,a cell
TECHNOLOGY,100,Le Bureau International de l'Heure in Paris is the keeper of this for the world,time
TECHNOLOGY,200,"On a single digit LED readout, number shown when all 7 LEDs are lit",8
TECHNOLOGY OF THE PAST,1000,A Sumerian pictograph shows one in 3500 B.C.: the oldest are wooden disks with 3 carved planks clamped by struts,a wheel
THAT'S OUR ISLAND,400,Greenland,Denmark
THAT'S OUR ISLAND,800,Bali,Indonesia
THAT'S OUR ISLAND,1200,Ibiza,Spain
THAT'S OUR ISLAND,1600,Aruba,The Netherlands (Holland)
THAT'S OUR ISLAND,2000,Lewis with Harris,Scotland
THAT'S OUR ISLAND,400,Guernsey,England
THAT'S OUR ISLAND,800,Baffin Island,Canada
THAT'S OUR ISLAND,1200,Corfu,Greece
THAT'S OUR ISLAND,1600,The Canary Islands,Spain
THAT'S OUR ISLAND,2000,Bimini,Bahamas
THE 10 LARGEST COUNTRIES IN THE WORLD,400,The one that borders no other countries,Australia
THE 10 LARGEST COUNTRIES IN THE WORLD,800,The one that spans 11 time zones,Russia
THE 10 LARGEST COUNTRIES IN THE WORLD,1200,The third largest,the United States
THE 10 LARGEST COUNTRIES IN THE WORLD,1600,The 2 that are in the British Commonwealth & north of the Equator,Canada & India
THE 10 LARGEST COUNTRIES IN THE WORLD,2000,The only one in Africa,the Sudan
THE 7 DWARFS,200,"The dwarfs' self-appointed leader, he wears glasses",Doc
THE 7 DWARFS,400,This youngest of the 7 dwarfs is completely bald & speechless,Dopey
THE 7 DWARFS,600,"Whenever Snow White's around, he blushes & bats his long eyelashes",Bashful
THE 7 DWARFS,800,Maybe this dwarf pictured with heavy eyelids needs a cup of coffee,Sleepy
THE 7 DWARFS,1000,"The most rotund of the 7 dwarfs, he's just too darn cheerful",Happy
